0,1,2,3,4,5,6,7,8
160504000012026NC400025,160391,CENTRO DE PREPARACAO OFICIAIS RESERVA/PA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5PA,"(016709-CPOR/PA)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO BT30.406-01 (SV MANUTENCAO ST APROV).REF: DIEX Nº 5-E4/CMDO 3ª RM, DE 05JAN26. EMPH ATE 48H. PRB DETAORC.",,14650.0
160504000012026NC400026,160038,6º DEPOSITO DE SUPRIMENTO,339030,MATERIAL DE CONSUMO,E6SUSOLA5PA,"(040667-6º D SUP)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO BT30.406-01 (AQS MATERIAL DE CONSUMO ST APROV CADASTRO RESERVA).REF: DIEX Nº 14096-SECAO DE MATERIAL E LOGISTICA/ESC LOG/CMDO 6ª RM, DE 22DEZ25. EMPH ATE 48H.",,2771.45
160504000012026NC400027,160307,1º DEPOSITO DE SUPRIMENTO,339030,MATERIAL DE CONSUMO,E6SUSOLA6OP,"(040584-1º D SUP)C SUP-DIV SUBS-SOL-MNT OP DSP EXTRAORDINARIA. OBS REGRAS DO BT30.409-01 (AQS MATERIAL DE CONSUMO MNT OP ATENDER EM 2026).REF: DIEX Nº 3141-1º D SUP, DE 26DEZ25. EMPH ATE 48H. PRB DETAORC.",,20349.35
160504000012026NC400028,160307,1º DEPOSITO DE SUPRIMENTO,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA6OP,"(040584-1º D SUP)C SUP-DIV SUBS-SOL-MNT OP DSP EXTRAORDINARIA. OBS REGRAS DO BT30.409-01 (SV MANUTENCAO MNT OP ATENDER EM 2026).REF: DIEX Nº 3141-1º D SUP, DE 26DEZ25. EMPH ATE 48H. PRB DETAORC.",,46000.0
160504000012026NC400029,160307,1º DEPOSITO DE SUPRIMENTO,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA6OP,"(040584-1º D SUP)C SUP-DIV SUBS-SOL-MNT OP DSP EXTRAORDINARIA. OBS REGRAS DO BT30.409-01 (SV MANUTENCAO MNT OP ATENDER EM 2026).REF: DIEX Nº 3139-SALC/S4/1º D SUP, DE 24DEZ26. EMPH ATE 48H. PRB DETAORC.",,240000.0
160504000012026NC400030,160045,BASE ADMINISTRATIVA DA GUARNICAO DE FORTALEZA,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5CF,"(001438-23º BC)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENCAO CAMARA FRIGO).REF: DIEX Nº 122-ESC LOG/10, DE 08JAN26. EMPH ATE 48H. PRB DETAORC.",,11190.9
160504000012026NC400031,160059,BATALHAO DE GUARDA PRESIDENCIAL,339030,MATERIAL DE CONSUMO,E6SUSOLSOLE,"(004804-BGP)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ CONFRATERNIZACAO DA LEGIAO DA INFANTARIA) REF: DIEX Nº 13226-ADM/SG4/GAB/COTER, DE 22DEZ25. EMPH ATE 48H. PRB DETAORC.",,12000.0
160504000012026NC400058,160426,DEPOSITO DE SUBSISTENCIA SANTO ANGELO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR,(044461-DSSA) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (DIARIAS EM PROL DO ST MOTORISTA - VT ) POR ORDEM DO CHEFE DE SUPRIMENTO EM 08/01/26. EMPH IMEDIATO. PRB DETAORC.,,502.5
160504000012026NC400059,160525,ESCOLA DE SAUDE E FORMACAO COMPLEMENTAR DO EX,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLA5PA,"(048512-ESFCEX / CMS)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINARIA. OBS REGRAS DO BT30.406-01 (SV MANUTENCAO ST APROV ATENDER EM 2026).REF: DIEX Nº 14007-SECAO DE SUPRIMENTO/ESC LOG/CMDO 6ª RM, DE 19DEZ25. EMPH ATE 48H. PRB DETAORC.",,176127.55
160504000012026NC400060,160467,COMANDO LOGISTICO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR,(045062-C SUP) C SUP -DIVSUBS-SOL-PASSAGENS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (DIARIAS EM PROL DOS MILITARES DA DIVSUBS). EMPH IMEDIATO. PRB DETAORC.,,20000.0
160504000012026NC400061,160467,COMANDO LOGISTICO,339033,PASSAGENS E DESPESAS COM LOCOMOCAO,E6SUSOLPASS,(045062-C SUP) C SUP -DIVSUBS-SOL-PASSAGENS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (AQUISICAO DE PASSAGENS EM PROL DOS MILITARES DA DIVSUBS). EMPH IMEDIATO. PRB DETAORC.,,30000.0
160504000012026NC400067,160070,DEPARTAMENTO-GERAL DO PESSOAL,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLSOLE,"(045377-DPGO)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ PASSAGEMDAFUNCAO E DESPEDIDA DO SUBDIRETOR DA DPGO) REF: DIEX Nº3-1ª SECAO/DPGO, DE 05JAN26. EMPH ATE 48H. PRB DETAORC.",,5526.0
160504000012026NC400068,160070,DEPARTAMENTO-GERAL DO PESSOAL,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLSOLE,"(047555-D SAU)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ PASSAGEM DE DIRECAO DA DIRETORIA DE SAUDE) REF: DIEX Nº 74-GAB DIR/D SAU, DE 07JAN26. EMPH ATE 48H. PRB DETAORC.",,13500.0
