0,1,2,3,4,5,6,7,8
160504000012026NC400037,160291,CENTRO TECNOLOGICO DO EXERCITO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(032292-IDQBRN)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE COMANDO DO IDOBRN) REF: DIEX Nº 312-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 08JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400038,160303,BASE DE ADMINISTRACAO E APOIO DA 1 RM,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023176-CMDO 1ª RM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (REUNIAO DE COORDENACAO LOGISTICA 1ª RM) REF: DIEX Nº 312-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 08JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2000.0
160504000012026NC400039,160285,ARSENAL DE GUERRA DO RIO,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUPLJA3RR,"(000703-AGR)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (PASSAGEM DE DIRECAO) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,5000.0
160504000012026NC400040,160299,COMANDO DO COMANDO MILITAR DO LESTE,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUPLJA3RR,"(017269-CGEA)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ESTG CH E INST TG 2026) REF: DIEX Nº 210-SECOPSUP/ESCLOG/CMDO 1ª RM, DE 07JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,5490.0
160504000012026NC400413,160482,COMANDO/1A BRIGADA DE INFANTARIA DE SELVA,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(024745-CMDO 1ª BDA INF SI)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DE OM) REF: DIEX Nº 397-CL I/SEC SUP/CCOL, DE 19JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,10000.0
160504000012026NC400414,160384,18 BATALHAO DE INFANTARIA MOTORIZADO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(007914-18º BI MTZ)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ATIVACAO DA 8ª CIA ENG) REF: DIEX Nº 196-CL I/SEC SUP/3º GPT LOG, DE 20JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,5000.0
160504000012026NC400415,160372,COMANDO DE ARTILHARIA DIVISIONARIA/3,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(021303-CMDO AD/3)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO CMDO AD/3) REF: DIEX Nº 196-CL I/SEC SUP/3º GPT LOG, DE 20JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3600.0
160504000012026NC400416,160413,BASE ADM DA GUARNICAO DE SANTA MARIA,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(023804-CMDO 3ª DE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (REUNIAO DE CMDO DA 3ª DE) REF: DIEX Nº 196-CL I/SEC SUP/3º GPT LOG, DE 20JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,1900.0
160504000012026NC400417,160413,BASE ADM DA GUARNICAO DE SANTA MARIA,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(001388-BA ADM GU SM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (REUNIAO DE CMDO DA 3ª DE) REF: DIEX Nº 196-CL I/SEC SUP/3º GPT LOG, DE 20JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,1200.0
160504000012026NC400418,160413,BASE ADM DA GUARNICAO DE SANTA MARIA,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(015693-CA - SUL)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (REUNIAO DE CMDO DA 3ª DE) REF: DIEX Nº 196-CL I/SEC SUP/3º GPT LOG, DE 20JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4100.0
