0,1,2,3,5,6,7
400027,160307,28,339030,E6SUSOLA6OP,"(040584-1º D Sup)C SUP-DIV SUBS-SOL-MNT OP DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.409-01 (AQS MATERIAL DE CONSUMO MNT OP ATENDER EM 2026).REF: DIEx nº 3141-1º D Sup, DE 26DEZ25. EMPH ATÉ 48H. PRB DETAORC.",20349.35
400028,160307,29,339039,E6SUSOLA6OP,"(040584-1º D Sup)C SUP-DIV SUBS-SOL-MNT OP DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.409-01 (SV MANUTENÇÃO MNT OP ATENDER EM 2026).REF: DIEx nº 3141-1º D Sup, DE 26DEZ25. EMPH ATÉ 48H. PRB DETAORC.",46000.0
400029,160307,30,339039,E6SUSOLA6OP,"(040584-1º D Sup)C SUP-DIV SUBS-SOL-MNT OP DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.409-01 (SV MANUTENÇÃO MNT OP ATENDER EM 2026).REF: DIEx nº 3139-SALC/S4/1º D Sup, DE 24DEZ26. EMPH ATÉ 48H. PRB DETAORC.",240000.0
400030,160045,31,339039,E6SUSOLA5CF,"(001438-23º BC)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENÇÃO CÂMARA FRIGO).REF: DIEx nº 122-Esc Log/10, DE 08JAN26. EMPH ATÉ 48H. PRB DETAORC.",11190.9
400031,160059,33,339030,E6SUSOLSOLE,"(004804-BGP)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ Confraternização da Legião da Infantaria) REF: DIEx nº 13226-Adm/SG4/Gab/COTER, DE 22DEZ25. EMPH ATÉ 48H. PRB DETAORC.",12000.0
400058,160426,47,339015,E6SUSOLDIAR,(044461-DSSA) C SUP -DIVSUBS-SOL-DIÁRIAS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (DIÁRIAS EM PROL DO ST MOTORISTA - VT ) POR ORDEM DO CHEFE DE SUPRIMENTO EM 08/01/26. EMPH IMEDIATO. PRB DETAORC.,502.5
400059,160525,48,339039,E6SUSOLA5PA,"(048512-EsFCEx / CMS)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.406-01 (SV MANUTENÇÃO ST APROV ATENDER EM 2026).REF: DIEx nº 14007-Seção de Suprimento/Esc Log/Cmdo 6ª RM, DE 19DEZ25. EMPH ATÉ 48H. PRB DETAORC.",176127.55
400060,160467,49,339015,E6SUSOLDIAR,(045062-C SUP) C SUP -DIVSUBS-SOL-PASSAGENS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (DIÁRIAS EM PROL DOS MILITARES DA DIVSUBS). EMPH IMEDIATO. PRB DETAORC.,20000.0
400061,160467,50,339033,E6SUSOLPASS,(045062-C SUP) C SUP -DIVSUBS-SOL-PASSAGENS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (AQUISIÇÃO DE PASSAGENS EM PROL DOS MILITARES DA DIVSUBS). EMPH IMEDIATO. PRB DETAORC.,30000.0
400067,160070,56,339039,E6SUSOLSOLE,"(045377-DPGO)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ Passagemdafunção e despedida do Subdiretor da DPGO) REF: DIEx nº3-1ª Seção/DPGO, DE 05JAN26. EMPH ATÉ 48H. PRB DETAORC.",5526.0
400068,160070,57,339039,E6SUSOLSOLE,"(047555-D Sau)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ Passagem de Direção da Diretoria de Saúde) REF: DIEx nº 74-Gab Dir/D Sau, DE 07JAN26. EMPH ATÉ 48H. PRB DETAORC.",13500.0
400069,160072,58,339030,E6SUSOLSOLE,"(071969-S E F)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ Despedida do Serviço Ativo de Oficial-General) REF: DIEx nº 128-AOFin/SEF, DE 09JAN26. EMPH ATÉ 48H. PRB DETAORC.",10500.0
400050,160111,59,339039,E6SUSOLA5CF,(005421-10º BIL Mth)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO PDRLOG-A5 (RECOLHIMENTO PARA MUDANÇA DE UG). ESTORNO.,4200.0
400070,160322,60,339030,E6SUSOLA5PA,"(059204-HCE)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.406-01 (AQS MATERIAL DE CONSUMO ST APROV).REF: DIEx nº 403-SeçOpSup/EscLog/Cmdo 1ª RM, DE 09JAN26. EMPH ATÉ 48H. PRB DETAORC.",54702.6
400071,160223,61,339039,E6SUSOLA5CF,"(059709-H Ge Curitiba)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENÇÃO CÂMARA FRIGO).REF: DIEx nº 300-Seç Remonta e Veterinária/Esc Log/Ch EM, DE 09JAN26. EMPH ATÉ 48H. PRB DETAORC.",2750.0
400288,160111,257,339030,E6SUSOLA5CF,"(005421-10º BIL Mth)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO PDRLOG-A5 (AQS MATERIAL DE CONSUMO CÂMARA FRIGO - COMPLEMENTO).REF: DIEx nº 182-Esc Log/E4/Cmdo 4ª RM, DE 06JAN26. EMPH ATÉ 48H. PRB DETAORC.",4200.0
400095,160186,266,339039,E6SUSOLSOLE,"(045062-D Abst)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ despedida para reserva remunerada de oficiais) REF: DIEx nº 189-Cmdo/B Adm QGEx, DE 14JAN26. EMPH ATÉ 48H. PRB DETAOR",16200.0
400289,160065,294,339030,E6SUSOLA2QS,"(040725-11º D Sup) C SUP-DIV SUBS-SOL-QS DSP EXTRAORDINÁRIA (ARTIGO SALMÃO). REF: DIEx nº 59-Chefia, DE 13JAN26. OBS REGRAS BT30.420-01(QS) E BT30.404-17. EMPH ATÉ 48H. PRB DETAORC.",94200.0
400295,160359,297,339039,E6SUSOLA5CF,"(060509-H Gu Alegrete)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO PDRLOG-A5 (SV MANUTENÇÃO CÂMARA FRIGO).REF: DIEx nº 428-E4/Cmdo 3ª RM, DE 12JAN26. EMPH ATÉ 48H. PRB DETAORC.",5400.0
400296,160407,298,339039,E6SUSOLA5PA,"(007203-29º BIB)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.406-01 (SV MANUTENÇÃO ST APROV).REF: DIEx nº 94-SS Rmt Vet/Seç Sup/3º Gpt Log, DE 09JAN26. EMPH ATÉ 48H. PRB DETAORC.",7500.0
400297,160186,299,339030,E6SUSOLA5PA,"(001156-Ba Adm / QGEx)C SUP-DIV SUBS-SOL-PASA DSP EXTRAORDINÁRIA. OBS REGRAS DO BT30.406-01 (AQS MATERIAL DE CONSUMO ST APROV).REF: DIEx nº 141-Div Mnt Bens Imoveis/B Adm QGEx, DE 13JAN26. EMPH ATÉ 48H. PRB DETAORC.",8350.0
400298,160086,301,339030,E6SUSOLSOLE,"(054890-Gab Cmt Ex)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ Reunião do Alto-Comando do Exército) REF: DIEx nº 353-Aprv/FiscAdm/DA, DE 14JAN26. EMPH ATÉ 48H. PRB DETAORC.",29342.34
400299,160072,302,339030,E6SUSOLSOLE,"(046399-Nu / DPE)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ recepção dos novos integrantes da Diretoria) REF: DIEx nº 224-DPE/DEC, DE 14JAN26. EMPH ATÉ 48H. PRB DETAORC.",8000.0
400300,160089,303,339039,E6SUSOLSOLE,"(016139-C C I Ex)C SUP-DIV SUBS-SOL-DPS DE ALIMENTAÇÃO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ 44º Aniversário de CCIEx) REF: DIEx nº 45-Seç Log/CCIEx, DE 15JAN26. EMPH ATÉ 48H. PRB DETAORC.",23250.0
400301,160238,304,339015,E6SUSOLDIAR,"(012369-Ba Ap Log Ex) C SUP -DIVSUBS-SOL-DIÁRIAS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (1ª RECOL SUP/26 ) REF DIEx nº 663-CSup/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",3300.0
400302,160238,305,339015,E6SUSOLDIAR,"(012369-Ba Ap Log Ex) C SUP -DIVSUBS-SOL-DIÁRIAS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (1ª RECOL SUP/26 - Ch C Col) REF DIEx nº 663-CSup/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",2805.0
400303,160307,306,339015,E6SUSOLDIAR,"(040584-1º D Sup) C SUP -DIVSUBS-SOL-DIÁRIAS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (1ª RECOL SUP/26 ) REF DIEx nº 663-CSup/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",2805.0
400304,160494,307,339015,E6SUSOLDIAR,"(040923-2º B Sup) C SUP -DIVSUBS-SOL-DIÁRIAS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (1ª RECOL SUP/26 ) REF DIEx nº 663-CSup/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",2805.0
400305,160368,308,339015,E6SUSOLDIAR,"(012955-3º B Sup) C SUP -DIVSUBS-SOL-DIÁRIAS DE PESSOAL MILITAR. OBSERVAR LEGISLAÇÃO VIGENTE (1ª RECOL SUP/26 ) REF DIEx nº 663-CSup/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",2805.0
