OM,CODOM,CODUG,SIGLA_UG
Cmdo CMP,22798,160148,Ba Adm Ap / CMP
Cmdo CMS,23556,160395,Cmdo CMS
Cmdo CMSE,23549,160457,Ba Adm Ap / Ibirapuera
Cmdo COpEsp,22210,160098,Ba Adm / C Op Esp
Cmdo DCiber,16451,160528,Ba Adm / CCOMGEx
Cmdo Fron Jauru/66º BI Mtz,21923,160155,Cmdo Fron-Jauru/66º BI Mtz
Cmdo Fron-AC/4º BIS,21824,160002,Cmdo Fron-AC/4º BIS
Cmdo Fron-AP/34º BIS,21881,160026,Cmdo 22ª Bda Inf SI
Cmdo Fron-Juruá/61º BIS,21899,160536,Cmdo Fron-Juruá/61º BIS
Cmdo Fron-RN/5º BIS,21832,160515,Cmdo 2ª Bda Inf Sl
Cmdo Fron-RO/6º BIS,21840,160346,Cmdo Fron-RO/6º BIS
Cmdo Fron-RR/7º BIS,21865,160352,Cmdo Fron-RR/7º BIS
Cmdo Fron-Sol/8º BIS,21873,160024,Cmdo Fron-Sol/8º BIS
Cmdo GUEs/9ª Bda Inf Mtz,24562,160295,Cmdo GUEs/9ª Bda Inf Mtz
CMF,20404,160046,CMF
CMJF,20446,160110,CMJF
CMM,20503,160013,CMM
CMPA,20602,160393,CMPA
CMR,20719,160084,CMR
CMRJ,20800,160292,CMRJ
CMS,49429,160525,ESFCEx
CMSM,20842,160079,CMSM
COEx,25312,160504,COLOG
COLOG,25296,160467,COLOG
COTER,25262,160539,COTER
Coud Rincão,39800,160514,Coud Rincão
CPOR / CMBH,16519,160523,CPOR / CMBH
CPOR / CMSP,16527,160487,CPOR / SP
CPOR / R,16808,160191,CPOR / R
CPOR / RJ,16907,160290,CPOR / RJ
CPOR/PA,16709,160391,CPOR / PA
CRO/1,26104,160301,CRO/1
CRO/11,27052,160066,CRO/11
CRO/12,27102,160017,CRO/12
CRO/2,26211,160491,CRO/2
CRO/3,26302,160396,CRO/3
CRO/5,26500,160220,CRO/5
CRO/7,26708,160201,CRO/7
CRO/8,26807,160215,CRO/8
CRO/9,26815,160141,CRO/9
CTEx,17186,160291,CTEx
D A Prom,45187,160070,DGP - UGE
D Abst,45062,160069,COEx/UG
D C T,39867,160035,D C T
D Cont,45500,160075,D Cont
D E C,39925,160502,D E C
D G O,46110,160073,D G O
D G P,40105,160505,D G P
D Mat,46417,160069,COEx/UG
D Sau,47555,160070,DGP - UGE
DC Mun,40535,160246,DC Mun
DCEM,45575,160070,DGP - UGE
DECEx,39875,160503,DECEx
DEPA,45740,160068,DECEx - UGE
DESMIL,45724,160068,DECEx - UGE
DETMIL,45732,160068,DECEx - UGE
DF,45872,160336,DF
DFPC,45930,160069,COEx/UG
DMAvEx,46243,160069,COEx/UG
DOC,46706,160067,DEC - UGE
DOM,46805,160067,DEC - UGE
DPHCEx,46128,160068,DECEx - UGE
DPIMA,47050,160067,DEC - UGE
DSG,47605,160076,DCT - UGE
DSM,47704,160070,DGP - UGE
DSMEM,15677,160231,DSMEM
DSSA,44461,160426,DSSA
DSSM,44453,160415,DSSM
Dst Sau Pqdt,44701,160296,Ba Adm / Bda Inf Pqdt
E M E,53603,160085,EME - UGE
EASA,48561,160531,EASA
ECEME,48702,160313,ECEME
ECT,52001,160321,ECT
ENaDCiber,16459,160528,Ba Adm / CCOMGEx
ER Op C-PIPA / 7ª Bda Inf Mtz,24406,160492,ER Op C-PIPA / 7ª Bda Inf Mtz
EsACosAAe,48603,160312,EsACosAAe
EsAO,48504,160311,EsAO
EsCom,48819,160528,Ba Adm / CCOMGEx
EsEFEx,48918,160315,CCFEx / FSJ
EsEqEx,49015,160315,CCFEx / FSJ
ESFCEx,49411,160525,ESFCEx
EsIE,49106,160317,EsIE
EsIMEx,49114,160062,CIE - UGE
EsPCEx,49403,160468,EsPCEx
Esqd C 1ª Bda C Mec,50401,160422,Cmdo 1ª Bda C Mec
Esqd C 2ª Bda C Mec,50500,160438,Cmdo 2ª Bda C Mec
Esqd C 3ª Bda C Mec,50609,160364,Cmdo 3ª Bda C Mec
Esqd C 4ª Bda C Mec,50641,160149,Cmdo 4ª Bda C Mec
Esqd C 5ª Bda C Bld,50716,160233,Cmdo 5ª Bda C Bld
EsSA,49502,160129,ESA
EsSLog,49510,160318,EsSLog
Gab Cmt Ex,54890,160508,Gab Cmt Ex
GRAF EX - EGGCF,52126,160083,GRAF EX - EGGCF
H Cmp,59188,160238,Ba Ap Log Ex
H Ge Belém,59501,160166,H Ge Belém
H Ge Curitiba,59709,160223,H Ge Curitiba
H Ge Fortaleza,59808,160050,H Ge Fortaleza
H Ge Juiz de Fora,59907,160121,H Ge Juiz de Fora
H Ge Rio de Janeiro,59410,160323,H Ge do Rio de Janeiro
H Ge Salvador,60400,160039,H Ge Salvador
H Ge Santa Maria,61416,160416,H Ge SM
H Gu Alegrete,60509,160359,H Gu Alegrete
H Gu Bagé,60608,160365,H Gu Bagé
H Gu Florianópolis,61002,160445,H Gu Florianópolis
H Gu João Pessoa,61051,160139,H Gu João Pessoa
H Gu Marabá,61150,160168,H Gu Marabá
H Gu Natal,61200,160345,H Gu Natal
H Gu Porto Velho,61291,160351,H Gu Porto Velho
H Gu Santiago,61507,160423,H Gu Santiago
H Gu São Gabriel Cachoeira,61721,160545,H Gu São Gabriel Cachoeira
H Gu Tabatinga,61713,160019,H Gu Tabatinga
HCE,59204,160322,HCE
HMAB,59568,160088,HMAB
HMACG,59618,160143,HMACG
HMAM,60012,160020,HMAM
HMAPA,60111,160399,HMAPA
HMAR,60210,160199,HMAR
HMASP,60319,160495,HMASP
HMR,59576,160239,H Mil de Resende
IBEx,62604,160324,IBEx
IDQBRN,32292,160291,CTEx
IME,62802,160327,IME
IPCFEx,62661,160315,CCFEx / FSJ
LQFEx,62901,160328,LQFEx
MHEx / FC,63131,160501,MHEx / FC
MNMSGM,414,160068,DECEx - UGE
Nu / 1º BIM,7385,160395,Cmdo CMS
Nu / 2º B Com GE Sl,7351,160161,2º BIS
Nu / 4º BIM,25054,160016,Cmdo CMA
Nu / 5º B Com,7393,160192,Ba Adm Ap / 5ª RM
Nu / Ba Adm / Fte Sta Bárbara,1339,160479,Cmdo Art Ex
Nu / DAP,45385,160070,DGP - UGE
Nu / DME,46318,160067,DEC - UGE
Nu / DPE,46399,160067,DEC - UGE
Nu / DPGO,45377,160070,DGP - UGE
Nu / IEFEx,62323,160089,SEF - UGE
OCEx,63289,160241,OCEx
PMB,46904,160082,PMB
PMZS,67041,160283,PMZS
Pol Mil Niterói,66605,160245,Pol Mil de Niterói
Pol Mil Porto Alegre,66704,160400,PMPA
Pol Mil Praia Vermelha,66803,160332,Pol Mil Praia Vermelha
Pol Mil Rio de Janeiro,66845,160334,Pol Mil do Rio de Janeiro
Pq R Mnt/10,65060,160051,Pq R Mnt/10
Pq R Mnt/12,65094,160021,Pq R Mnt/12
Pq R Mnt/3,64915,160417,Pq R Mnt/3
Pq R Mnt/5,64931,160224,Pq R Mnt/5
Pq R Mnt/6,64956,160040,Pq R Mnt/6
Pq R Mnt/7,65011,160200,Pq R Mnt/7
S E F,71969,160509,S E F
SGEx,72108,160510,SGEx
