OM,CODOM,CODUG,SIGLA_UG
21ª Cia E Cnst,34744,160022,21ª Cia E Cnst
21º CT,15263,160118,Cmdo 4ª RM
21º GAC,56812,160272,21º GAC
22ª Ba Log Sl,984,160026,Cmdo 22ª Bda Inf SI
22º B Log L,12278,160456,22º B Log L
22º BI,5793,160547,22º BI Mec
22º GAC AP,58149,160436,22º GAC AP
22º Pel PE,65813,160515,Cmdo 2ª Bda Inf Sl
23ª Cia Com SI,32078,160170,Cmdo 23ª Bda Inf SI
23ª Cia E Cmb,34637,160101,23ª Cia E Cmb
23º B Log SI,12351,160520,23º B Log SI
23º BC,1503,160044,23º BC
23º BI,5801,160440,23º BI
23º Esqd C Sl,65268,160081,23º Esqd C Sl
23º Pel PE,65789,160100,Cmdo 3ª Bda Inf Mtz
24º BIS,10199,160105,24º BIS
25º B Log (Es),12203,160274,25º B Log (Es)
25º BC,1701,160204,25º BC
25º BI Pqdt,9704,160296,Ba Adm / Bda Inf Pqdt
25º GAC,57000,160361,25º GAC
25º Pel PE Mec,65870,160233,Cmdo 5ª Bda C Bld
26º BI Pqdt,9803,160296,Ba Adm / Bda Inf Pqdt
26º GAC,57109,160228,26º GAC
26º Pel PE Mec,65888,160414,Cmdo 6ª Bda Inf Bld
27º B Log,12104,160212,27º B Log
27º BI Pqdt,9902,160296,Ba Adm / Bda Inf Pqdt
27º GAC,57208,160375,27º GAC
28º B Log,12153,160149,Cmdo 4ª Bda C Mec
28º BC,1800,160454,28º BC
28º BIL,7310,160466,Cmdo 11ª Bda Inf Mec
28º GAC,57315,160441,28º GAC
29º BIB,7203,160407,29º BIB
29º GAC AP,57406,160371,29º GAC AP
2ª Bia AAAe,13011,160434,2ª Bia AAAe
2ª Cia Com L,32086,160466,Cmdo 11ª Bda Inf Mec
2ª Cia E Cmb Mec,34868,160356,12º BE Cmb Bld
2ª Cia Fron,35303,160153,2ª Cia Fron
2ª Cia Inf,36236,160236,2ª Cia Inf
2ª Cia Intlg,32938,160299,Cmdo CML
2ª Cia Trnp,36582,160494,2º B Sup
2º B Av Ex,1271,160518,B Av T
2º B Fv,4515,160106,2º B Fv
2º B Log L,12237,160463,2º B Log L
2º B Log Sl,12344,160515,Cmdo 2ª Bda Inf Sl
2º B Sup,40923,160494,2º B Sup
2º BE Cmb,2501,160477,2º BE Cmb
2º BEC,3400,160203,2º BEC
2º BI Mtz (Es),9506,160267,2º BI Mtz (Es)
2º BIL,7286,160498,2º BIL
2º BIS,10108,160161,2º BIS
2º BPE,12716,160484,2º BPE
2º CGCFEx,62174,160486,3º CTA
2º CGEO,15685,160056,2º CGEO
2º CTA,15339,160298,Cmdo 1ª RM
2º GAAAe,55426,160473,2º GAAAe
2º GAC L,58321,160469,2º GAC
2º Pel Com Sl,65375,160515,Cmdo 2ª Bda Inf Sl
2º Pel PE Mec,65854,160438,Cmdo 2ª Bda C Mec
2º RC Gd,70037,160270,2º RC Gd
2º RC Mec,70300,160428,2º RC Mec
30º BI Mec,8318,160206,30º BI Mec
31º BI Mtz,8417,160173,31º BI Mtz
31º GAC (Es),57703,160277,31º GAC (Es)
32º BIL Mth,8474,160247,32º BIL Mth
32º GAC,57604,160058,32º GAC
32º Pel PE,65722,160482,Cmdo 1ª Bda Inf SI
33º BI Mec,8490,160209,Cmdo 15ª Bda Inf Mec
33º Pel PE,65565,160170,Cmdo 23ª Bda Inf SI
34º BI Mec,8524,160226,34º BI Mec
34º Pel PE,65755,160537,Cmdo 16ª Bda Inf SI
35º BI,6007,160028,35º BI
35º Pel PE,65763,160111,Cmdo 4ª Bda Inf L Mth
36º BI Mec,8532,160130,36º BI Mec
36º Pel PE Pqdt,65797,160296,Ba Adm / Bda Inf Pqdt
37º BIL,7328,160471,37º BI Mec
38º BI,6106,160093,38º BI
3ª Bia AAAe,13292,160521,3ª Bia AAAe
3ª Cia Com Bld,32144,160414,Cmdo 6ª Bda Inf Bld
3ª Cia E Cmb Mec,34876,160526,3ª Cia E Cmb Mec
3ª Cia F Esp,32870,160016,Cmdo CMA
3ª Cia Intlg,32946,160457,Ba Adm Ap / Ibirapuera
3º B Av Ex,1313,160530,Ba Adm Ap / CMO
3º B Com,2030,160385,3º B Com
3º B Log,10900,160362,3º B Log
3º B Sup,12955,160368,3º B Sup
3º BE Cmb,2600,160367,3º BE Cmb
3º BEC,3509,160202,3º BEC
3º BIS,10116,160137,3º BIS
3º BPE,12807,160386,3º BPE
3º CGCFEx,62182,160387,3º CGCFEx - UGE
3º CGEO,48413,160179,3º CGEO
3º CTA,15347,160486,3º CTA
3º Esqd C Mec,49973,160057,3º Esqd C Mec
3º GAAAe,55509,160369,3º GAAAe
3º GAC AP,58008,160409,3º GAC AP
3º Pel PE Mec,65862,160364,Cmdo 3ª Bda C Mec
3º RC Gd,70102,160388,3º RC Gd
3º RC Mec,70409,160363,3º RC Mec
3º RCC,68916,160207,3° RCC
40º BI,6122,160041,40º BI
41º BI Mtz,8912,160102,41º BI Mec
41º CT,15271,160163,Cmdo 8ª RM
44º BI Mtz,9126,160156,44º BI Mtz
47º BI,6163,160147,47º BI
4ª Cia Com L Mth,31427,160109,4ª Cia Com L Mth
4ª Cia E Cmb Mec,34884,160150,4ª Cia E Cmb Mec
4ª Cia PE,37515,160118,Cmdo 4ª RM
4º B Av Ex,1297,160007,4º B Av Ex
4º B Com,2048,160225,Ba Adm / Curado
4º B Log,11007,160410,4º B Log
4º BE Cmb,2709,160113,4º BE Cmb
4º BEC,3608,160027,4º BEC
4º BIL,7245,160474,4º BI Mec
4º BPE,12898,160225,Ba Adm / Curado
4º CGCFEx,62190,160111,Cmdo 4ª Bda Inf L Mth
4º CGEO,48439,160011,4º CGEO
4º CTA,15354,160016,Cmdo CMA
4º D Sup,40642,160120,4º D Sup
4º Esqd C Mec,50039,160111,Cmdo 4ª Bda Inf L Mth
4º GAAAe,55541,160127,4º GAAAe
4º GAC L Mth,5611,160111,Cmdo 4ª Bda Inf L Mth
4º Pel PE Mec,65839,160149,Cmdo 4ª Bda C Mec
4º RCB,69708,160431,4º RCB
4º RCC,69005,160404,4º RCC
50º BIS,10207,160103,50º BIS
51º BIS,10306,160160,51º BIS
51º CT,15289,160036,Cmdo 6ª RM
52º BIS,10405,160170,Cmdo 23ª Bda Inf SI
52º CT,15297,160045,Ba Adm / Gu F
53º BIS,10504,160167,53º BIS
54º BIS,10603,160005,54º BIS
55º BI,6213,160122,55º BI
57º BI Mtz (Es),9605,160279,57º BI Mtz (Es)
58º BI Mtz,9183,160095,58º BI Mtz
59º BI Mtz,9209,160004,59º BI Mtz
5ª Bia AAAe L,13037,160474,4º BI Mec
5ª Cia Com Bld,32169,160214,5ª Cia Com Bld
5ª Cia Intlg,32961,160195,Cmdo CMNE
5ª Cia PE,37606,160192,Ba Adm Ap / 5ª RM
5º B Log,11106,160213,5º B Log
5º B Sup,12963,160222,5º B Sup
5º BE Cmb Bld,4184,160448,5º BE Cmb Bld
5º BEC,3707,160348,5º BEC
5º BIL,7260,160472,5º BIL
5º CGCFEx,62216,160222,5º B Sup
5º CGEO,48470,160278,5º CGEO
5º CTA,15362,160225,Ba Adm / Curado
5º Esqd C Mec,50112,160216,5º Esqd C Mec
5º GAC AP,58107,160217,5º GAC AP
5º RC Mec,70458,160401,5º RC Mec
5º RCC,69104,160234,5º RCC
62º BI,6403,160446,62º BI
63º BI,6502,160443,63º BI
6ª Bia AAAe AP,13177,160262,1º RCC
6ª Cia Com,31542,160100,Cmdo 3ª Bda Inf Mtz
6ª Cia E Cmb Sl,34926,160520,23º B Log SI
6º B Com,2055,160360,6º B Com
6º BE Cmb,2907,160402,6º BE Cmb
6º BEC,3806,160353,6º BEC
6º BIL,7278,160462,Cmdo Bda Inf Amv
6º BIM,7369,160530,Ba Adm Ap / CMO
6º BPE,12323,160034,6º BPE
6º CGCFEx,62224,160038,6º D Sup
6º CTA,15370,160530,Ba Adm Ap / CMO
6º D Sup,40667,160038,6º D Sup
6º Esqd C Mec,50146,160262,1º RCC
6º GAC,55707,160403,6º GAC
6º GMF,58529,160479,Cmdo Art Ex
6º Pel PE,65771,160098,Ba Adm / C Op Esp
6º RCB,69807,160358,6º RCB
71º BI Mtz,9407,160177,71º BI Mtz
72º BI Mtz,9415,160183,72º BI Mtz
7ª Cia Com,31609,160225,Ba Adm / Curado
7ª Cia Intlg,32987,160148,Ba Adm Ap / CMP
7º BE Cmb,3004,160343,7º BE Cmb
7º BEC,3913,160001,7º BEC
7º BIB,6718,160411,7º BIB
7º BPE,12331,160016,Cmdo CMA
7º CGCFEx,62232,160225,Ba Adm / Curado
7º CTA,15388,160091,7º CTA
7º D Sup,40675,160198,7º D Sup
7º GAC,55806,160225,Ba Adm / Curado
7º Pel PE,65623,160344,Cmdo 7ª Bda Inf Mtz
7º RC Mec,70508,160435,7º RC Mec
8ª Cia Com,31617,160360,6º B Com
8ª Cia Intlg,32995,160196,Ba Adm Ap / CMN
8° BPE,12922,160457,Ba Adm Ap / Ibirapuera
8º B Log,11205,160389,8º B Log
8º B Mnt Sl,65037,160074,8º B Mnt Sl
8º B Sup Sl,40691,160165,8º B Sup Sl
8º BEC,4002,160171,8º BEC
8º CGCFEx,62240,160161,2º BIS
8º Esqd C Mec,50252,160377,8º Esqd C Mec
8º GAC Pqdt,58206,160296,Ba Adm / Bda Inf Pqdt
8º Pel PE,65631,160380,Cmdo 8ª Bda Inf Mtz
8º RC Mec,70607,160437,8º RC Mec
9ª Bia AAAe (Es),13094,160240,9ª Bia AAAe (Es)
9º B Com GE,2071,160530,Ba Adm Ap / CMO
9º B Log,11304,160421,9º B Log
9º B Mnt,65078,160136,Cmdo 9º Gpt Log
9º B Sup,12989,160142,9º B Sup
9º BE Cmb,3103,160132,9º BE Cmb
9º BEC,4101,160157,9º BEC
9º BI Mtz,7500,160379,9º BI Mtz
9º BPE,65490,160530,Ba Adm Ap / CMO
9º CGCFEx,62257,160530,Ba Adm Ap / CMO
9º GAC,55822,160151,9º GAC
9º Pel PE,65516,160295,Cmdo GUEs/9ª Bda Inf Mtz
9º RCB,69906,160430,9º RCB
AC DEFESA,16477,160091,AC DEFESA
AGGC,604,160374,AGGC
AGITEC,39883,160291,CTEx
AGR,703,160285,AGR
AGSP,802,160529,AGSP
AHEx,513,160068,DECEx - UGE
AMAN,109,160249,AMAN
B Adm Ap / CMO,1321,160530,Ba Adm Ap / CMO
B Adm Ap/12ª RM,1537,160014,Cmdo 12ª RM
B Ap Op Esp,12567,160098,Ba Adm / C Op Esp
B Av T,1115,160518,B Av T
B DOMPSA,2352,160296,Ba Adm / Bda Inf Pqdt
B Es Com,4218,160251,B Es Com
B Mnt Sup AAAe,12443,160474,4º BI Mec
B Mnt Sup Av Ex,12435,160518,B Av T
Ba Adm / Bda Inf Pqdt,1396,160296,Ba Adm / Bda Inf Pqdt
Ba Adm / C Op Esp,1347,160098,Ba Adm / C Op Esp
Ba Adm / CCOMGEx,1248,160528,Ba Adm / CCOMGEx
Ba Adm / Cmplx Sau RJ,992,160242,Ba Adm / Cmplx Sau RJ
Ba Adm / Curado,1362,160225,Ba Adm / Curado
Ba Adm / Gu Fortaleza,1438,160045,Ba Adm / Gu F
Ba Adm / Gu João Pessoa,1412,160175,Ba Adm / Gu JP
Ba Adm / Gu Natal,1420,160342,Ba Adm / Gu N
Ba Adm / Gu Santa Maria,1388,160413,Ba Adm / Gu SM
Ba Adm / QGEx,1156,160186,Ba Adm / QGEx
Ba Adm Ap / 1ª RM,1032,160303,Ba Adm Ap / 1ª Rm
Ba Adm Ap / 3ª RM,1222,160392,Cmdo 3ª RM
Ba Adm Ap / 5ª RM,1446,160192,Ba Adm Ap / 5ª RM
Ba Adm Ap / 8ª RM,1495,160196,Ba Adm Ap / CMN
Ba Adm Ap / CMN,1198,160196,Ba Adm Ap / CMN
Ba Adm Ap / CMP,1131,160148,Ba Adm Ap / CMP
Ba Adm Ap / Ibirapuera,1214,160457,Ba Adm Ap / Ibirapuera
Ba Ap Log Ex,12369,160238,Ba Ap Log Ex
BCMS,12526,160329,BCMS
BCSv / AMAN,12575,160249,AMAN
BCSv / Es SA,12583,160129,ESA
BGP,4804,160059,BGP
Bia C 1ª Bda AAAe,13268,160293,Cmdo DAAe Ex
Bia C AD/1,13219,160244,Cmdo AD/1
Bia C AD/3,13409,160372,Cmdo AD/3
Bia C AD/5,13607,160217,5º GAC AP
Bia C Cmdo Art Ex,13342,160479,Cmdo Art Ex
Bia C Sv / FSJ,13748,160315,CCFEx / FSJ
BIBLIEx,14407,160287,BIBLIEx
BMSA,12492,160304,BMSA
BPEB,12500,160060,BPEB
C Av Ex,21626,160518,B Av T
C C I Ex,16139,160519,C C I Ex
C I E,16261,160221,C I E
C Id Ex,15669,160289,CEP / FDC
C Log Msl Fgt,58545,160432,C Log Msl Fgt
C P Ex,17178,160063,C P Ex
C PAEx,12484,160289,CEP / FDC
CA - Leste,15181,160297,Cmdo 1ª DE
CA - Sul,15693,160413,Ba Adm / Gu SM
CAEx,15446,160237,CAEx
CCFEx / FSJ,15610,160315,CCFEx / FSJ
CCOMSEx,15453,160086,Gab Cmt Ex - UGE
CCOPAB,16246,160318,EsSLog
CDCiber,16444,160528,Ba Adm / CCOMGEx
CDE,25411,160315,CCFEx / FSJ
CDS,15552,160076,DCT - UGE
CEADEx,15628,160318,EsSLog
CECMA,15578,160008,CECMA
CEP / FDC,15602,160289,CEP / FDC
CFR-Manaus,15859,160014,Cmdo 12ª RM
CGEA,17269,160299,Cmdo CML
CI Art Msl Fgt,58537,160479,Cmdo Art Ex
CI Av Ex,15438,160518,B Av T
