OM,CODOM,CODUG,SIGLA_UG
14ª Cia Com Mec,32219,160149,Cmdo 4ª Bda C Mec
14ª Cia E Cmb,36467,160517,14ª Cia E Cmb
14º B Log,11502,160204,25º BC
14º BI Mtz,7609,160145,17º B Fron
14º GAC,56200,160123,14º GAC
14º Pel PE,65532,160444,Cmdo 14ª Bda Inf Mtz
14º RC Mec,70813,160450,14º RC Mec
15ª Cia Com Mec,32235,160209,Cmdo 15ª Bda Inf Mec
15ª Cia E Cmb Mec,34934,160230,15ª Cia E Cmb Mec
15ª Cia Inf Mtz,36731,160227,15ª Cia Inf Mtz
15ª Cia PE,37812,160161,2º BIS
15º B Log,11551,160206,30º BI Mec
15º BI Mtz,7708,160146,Cmdo 18ª Bda Inf Pantanal
15º GAC AP,56309,160229,15º GAC AP
15º RC Mec (Es),70938,160265,15º RC Mec (Es)
16ª Ba Log,1172,160014,Cmdo 12ª RM
16ª Cia PE,37820,160045,Ba Adm / Gu F
16º B Log,11601,160207,3° RCC
16º BI Mtz,7807,160147,47º BI
16º Esqd C Mec,50385,160378,16º Esqd C Mec
16º GMF,58552,160479,Cmdo Art Ex
16º Pel Com Sl,65342,160537,Cmdo 16ª Bda Inf SI
16º RC Mec,71001,160175,Ba Adm / Gu JP
17ª Cia Inf Sl,30981,160349,Cmdo 17ª Bda Inf SI
17º B Fron,4770,160090,S G Ex
17º B Log L Mth,11734,160209,Cmdo 15ª Bda Inf Mec
17º B Log Sl,12377,160229,15º GAC AP
17º BIS,10181,160537,Cmdo 16ª Bda Inf SI
17º GAC,56507,160342,Ba Adm / Gu N
17º Pel Com Sl,65359,160349,Cmdo 17ª Bda Inf SI
17º Pel PE,65540,160349,Cmdo 17ª Bda Inf SI
17º RC Mec,71019,160131,17º RC Mec
18RC MEC,71050,,
18ª Cia Com,32011,160146,Cmdo 18ª Bda Inf Pantanal
18º B Trnp,11767,160211,20º BIB
18º BI Mtz,7914,160148,Ba Adm Ap / CMP
18º GAC,56523,160159,18º GAC
18º Pel PE,65821,160146,Cmdo 18ª Bda Inf Pantanal
19º BC,1404,160038,6º D Sup
19º BI Mtz,8003,160149,Cmdo 4ª Bda C Mec
19º GAC,56606,160420,19º GAC
19º RC Mec,71035,160418,19º RC Mec
1ª Cia AC Mec,30817,,
1ª Cia E Cmb Mec,34843,160428,2º RC Mec
1ª Cia E Cmb Pqdt,34702,160296,Ba Adm / Bda Inf Pqdt
1ª CIA INF,36202,160030,1ª Cia Inf
1º B Av Ex,1263,160021,Pq R Mnt/12
1º B Com,2022,160053,11º GAAAe
1º B Com GE SI,4929,160100,Cmdo 3ª Bda Inf Mtz
1º B Com SI,2014,160016,Cmdo CMA
1º B F Esp,4556,160089,SEF - UGE
1º B Fv,4416,160086,Gab Cmt Ex - UGE
1º B Gd,4903,160253,1º B Gd
1º B Log Sl,12328,160224,Pq R Mnt/5
1º B Op Psc,12534,160238,Ba Ap Log Ex
1º BAC,1255,160020,HMAM
1º BE Cmb (Es),12948,160252,1º BE Cmb (Es)
1º BEC,3319,160068,DECEx - UGE
1º BGd,4903,160095,58º BI Mtz
1º BGE,4911,160098,Ba Adm / C Op Esp
1º BI Mec (Es),8326,160151,9º GAC
1º BIM,7385,160139,H Gu João Pessoa
1º BIS (Amv),10017,160175,Ba Adm / Gu JP
1º BPE,12609,160245,Pol Mil de Niterói
1º Btl DQBRN,66035,160317,EsIE
1º CGCFEx,62158,160303,Ba Adm Ap / 1ª Rm
1º CGEO,48215,160382,1º CGEO
1º CTA,15321,160317,EsIE
1º D Sup,40584,160307,1º D Sup
1º Esqd C L,49916,160338,1º Esqd C L
