COLUNA,COLUNA_2,COLUNA_3,COLUNA_4,COLUNA_5,COLUNA_6,COLUNA_7,COLUNA_8,COLUNA_9,COLUNA_10,COLUNA_11,COLUNA_12,COLUNA_13,COLUNA_14,COLUNA_15,COLUNA_16,CREDITO DISPONIVEL,DESPESAS EMPENHADAS,DESPESAS LIQUIDADAS,DESPESAS PAGAS,RESTOS A PAGAR NAO PROCESSADOS INSCRITOS,RESTOS A PAGAR NAO PROCESSADOS REINSCRITOS,RESTOS A PAGAR NAO PROCESSADOS CANCELADOS,RESTOS A PAGAR NAO PROCESSADOS A LIQUIDAR,RESTOS A PAGAR NAO PROCESSADOS LIQUIDADOS
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,161376.54,,,161376.54,
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,41772.95,,,124229.91,,,79220.42,45009.49
160005,54 BATALHAO DE INFANTARIA DE SELVA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),156688.64,60163.8,,,,,,,
,,,,,,,,,,,,,E6SUPLJA6OP,A6OP - MNT DE ORGAO PROVEDOR,Saldo - Moeda Origem (Item Informação),0,,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),101.13,475200.87,74136.15,,54129.5,,,10062.1,44067.4
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),53239.79,146906.33,,,693.36,,,0,693.36
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,70749.12,,,41408.29,29340.83
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,5250,,,4798.1,451.9
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,10873.21,,,95767.51,,,59279.13,36488.38
160006,1 BATALHAO DE INFANTARIA DE SELVA(AEROMOVEL),212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),217635.7,101172.9,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),215318.63,501033.37,13965.6,13965.6,187044.6,,,39930.6,147114
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0.3,4999.7,,,,,,,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),227697.98,44031,,,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,47668.6,,,419.76,47248.84
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,6950.14,,,2957.14,3993
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,2220.78,,,1188.95,1031.83
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),,,,,198283.02,,,198283.02,
160007,4 BATALHAO DE AVIACAO DO EXERCITO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),121910.08,,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),45236.28,262929.72,7068.93,,104020.85,,,7998.91,96021.94
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),5000,,,,9998.47,,,31.29,9967.18
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),91099.26,,,,17530.5,,,8897.8,8632.7
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,33719.4,,,439.85,33279.55
,,,,,,,,,,,,,E6SUSOLA7PA,A7PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),0,,,,,,,,
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,34512.68,,,238310.24,,,173444.92,64865.32
160008,CENTRO DE EMBARCACOES DO COM.MIL.DA AMAZONIA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),8106.76,77328.97,,,8600.79,,,8600.79,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),57536.88,,,,12574.98,,,0,12574.98
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,17764.61,17764.51,16083.74,30081.9,,,26821.38,3260.52
160009,"12º CENTRO DE GESTAO, CONTABILIDADE E FIN EX",212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,3,OUTRAS DESPESAS CORRENTES,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,7000,,,7000,
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),,,,,1377.4,,,1377.4,
160011,4º CENTRO DE GEOINFORMACAO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),69857.33,,,,584.64,,,0,584.64
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),9600.2,184535.8,2495,2495,103901.61,,,68149.28,35752.33
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),,,,,7327,,,5212.5,2114.5
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),102567.56,13185,,,4620,,,1320,3300
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,24930.17,,,21242.03,3688.14
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,5968.05,,,5968.05,
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),,,,,130225.73,,,89832.89,40392.84
160012,CENTRO DE INSTRUCAO DE GUERRA NA SELVA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),,,,,5880,2839,,2839,5880
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,71841.98,,,5100,66741.98
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),329880.6,39059.4,,,140050.27,4734,,60315.06,84469.21
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),,,,,9244.41,,,2096.26,7148.15
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),162122.41,,,,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,42600.05,,,22335.02,20265.03
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,2769.76,,,1091.35,1678.41
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0.37,9999.63,9036.1,9036.1,186328.7,,,139106.25,47222.45
160013,COLEGIO MILITAR DE MANAUS,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),111576.76,,,,8820,,,8820,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),37746.91,265439.09,,,61150.22,,,12619.9,48530.32
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),,,,,1856.59,,,463.75,1392.84
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),38509.21,,,,,,,,
,,,,,,,,,,,,,E6SUPLJQSFR,QUANTITATIVO DE SUBSISTENCIA,Saldo - Moeda Origem (Item Informação),26880,,,,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,21724.5,,,2401.68,19322.82
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,24491.18,,,5150.06,19341.12
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,32447.18,,,284232.18,,,284232.18,
160014,COMANDO 12 REGIAO MILITAR,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),58577.85,17522.15,,,,,,,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),120,1440,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,D8SAFCTCALI,CALI - COMPLEMENTO DE ALIMENTACAO,Saldo - Moeda Origem (Item Informação),,,,,151387.95,,,26039.6,125348.35
,,,,,,,,,,,,,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),101295.37,722072.63,52628.76,52628.76,106913.11,,,43686.79,63226.32
,,,,,,,,,,,,,E6SUPLJA2QS,A2QS - QUANTITATIVO DE SUBSISTENCIA,Saldo - Moeda Origem (Item Informação),96302.3,14864393.75,,,2514395.55,,,1289773.52,1224622.03
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),958911.3,17999.2,17999.2,17999.2,4009.03,,,0,4009.03
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),86321.1,,,,,,,,
,,,,,,,,,,,,,E6SUPLJQSFR,QUANTITATIVO DE SUBSISTENCIA,Saldo - Moeda Origem (Item Informação),80,305200,,,528500.2,,,38500.2,490000
