COLUNA,COLUNA_2,COLUNA_3,COLUNA_4,COLUNA_5,COLUNA_6,COLUNA_7,COLUNA_8,COLUNA_9,COLUNA_10,COLUNA_11,COLUNA_12,COLUNA_13,COLUNA_14,COLUNA_15,COLUNA_16,CREDITO DISPONIVEL,DESPESAS EMPENHADAS,DESPESAS LIQUIDADAS,DESPESAS PAGAS,RESTOS A PAGAR NAO PROCESSADOS INSCRITOS,RESTOS A PAGAR NAO PROCESSADOS REINSCRITOS,RESTOS A PAGAR NAO PROCESSADOS CANCELADOS,RESTOS A PAGAR NAO PROCESSADOS A LIQUIDAR,RESTOS A PAGAR NAO PROCESSADOS LIQUIDADOS
,,,,,,,,,,,,,E6SUPLJA7PA,A7PA - PASA,Saldo - Moeda Origem (Item Informação),,,,,65402.1,,,27959.28,37442.82
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,103884,,,1240,102644
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,59857.81,,,39508.11,20349.7
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0.24,92055.23,13242.63,12672.96,116841.09,,,58220.84,58620.25
160131,17 REGIMENTO DE CAVALARIA MECANIZADO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),124406.06,29093.94,,,,,,,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,17985.33,,,0,17985.33
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),18203.68,586548.32,29057,18457.17,96410.59,,,11233.9,85176.69
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0,7498,7498,5723.07,,,,,
,,,,,,,,,,,,,E6SUPLJA4QR,A4QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),,,,,96,,,0,96
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),31474.69,83329.81,,,3587.55,,,0,3587.55
,,,,,,,,,,,,,E6SUPLJTRFR,TRFR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0,34940.34,9347.24,9215.18,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,30298.39,,,0,30298.39
,,,,,,,,,,,,,E6SUSOLPUBL,PUBL - PUBLICACOES OFICIAIS,Saldo - Moeda Origem (Item Informação),456.66,,,,456.66,,,0,456.66
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,1242374.01,,,917769.49,324604.52
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,101574.65,73665.11,70692.91,263170.4,,,160528.05,102642.35
160132,9 BATALHAO DE ENGENHARIA DE COMBATE,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),36944,3556,,,42338.6,,,4368.6,37970
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,16721.13,,,11723,4998.13
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0,542376,6316.66,6316.66,120871.97,,,540,120331.97
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),2052.55,7947.45,,,3045.04,,,0,3045.04
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),30269.5,20666.9,,,1433.82,,,0,1433.82
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,67312.64,,,8064.46,59248.18
,,,,,,,,,,,,,E6SUSOLA5CF,SOL - SOLICITADO,Saldo - Moeda Origem (Item Informação),0,5908.2,5908.2,5908.2,24420,,,0,24420
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,123656.93,,,115830.81,7826.12
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),,,,,410792.68,,,261188.64,149604.04
160133,10 REGIMENTO DE CAVALARIA MECANIZADO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),123390,,,,,,,,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,8889.75,,,0,8889.75
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),148496.16,388083.84,,,174262.37,,,54310.03,119952.34
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),54.48,12445.52,,,2056.86,,,1353.66,703.2
,,,,,,,,,,,,,E6SUPLJA4QR,A4QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),,,,,104.4,,,104.4,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),63131.78,,,,5836.84,,,4176,1660.84
,,,,,,,,,,,,,E6SUPLJTRFR,TRFR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),14448,,,,12368.36,,,2337,10031.36
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,44647.91,,,7808.8,36839.11
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,24114.35,,,24114.35,
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,53734.97,44412.98,29199.6,195314.01,,,154050.39,41263.62
160134,CENTRO DE INSTRUCAO DE OPERACOES ESPECIAIS,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),72863.53,20516.47,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),206417.24,151518.76,23861.18,19757.9,92916.59,,,37073.89,55842.7
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),1831.65,9118.35,,,200,,,200,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,37117.65,,,1248.4,35869.25
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),0,9719.21,,,,,,,
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,216198.61,,,82211.35,133987.26
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,47724.7,42636.68,39828.07,89750.23,,,81413.58,8336.65
160136,COMANDO DO 9º GRUPAMENTO LOGISTICO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),226746.35,169889.08,,,44796.47,,,43459.47,1337
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,31376.11,,,31376.11,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E5MMSUNCOMP,AQS SUP SV MNT VTR NAO BLD,Saldo - Moeda Origem (Item Informação),,,,,43573.75,,,26093.75,17480
,,,,,,,,,,,,,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),85801.37,550822.63,19001.91,19001.91,184379.41,,,33599.22,150780.19
,,,,,,,,,,,,,E6SUPLJA2QS,A2QS - QUANTITATIVO DE SUBSISTENCIA,Saldo - Moeda Origem (Item Informação),1218292.3,17327683.7,,,5395317.53,,,1902774.84,3492542.69
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),360315.7,29492.86,1849.96,1849.96,7058.26,,,726.6,6331.66
,,,,,,,,,,,,,E6SUPLJA4QS,AQS QS EM OP PLJ COM RECURSOS DO COLOG,Saldo - Moeda Origem (Item Informação),330,,,,4692,,,0,4692
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),125505.11,53009.38,,,32510.6,,,26877,5633.6
,,,,,,,,,,,,,E6SUPLJQSEE,QS PARA PARA ESTABELECIMENTO DE ENSINO,Saldo - Moeda Origem (Item Informação),23496,,,,,,,,
,,,,,,,,,,,,,E6SUPLJQSFR,QUANTITATIVO DE SUBSISTENCIA,Saldo - Moeda Origem (Item Informação),236160,,,,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,50038.97,,,3042.9,46996.07
,,,,,,,,,,,,,E6SUSOLA5CF,SOL - SOLICITADO,Saldo - Moeda Origem (Item Informação),0,8255,8255,8255,,,,,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),14321.62,15849.9,,,11550,,,1449.86,10100.14
,,,,,,,,,,,,,E6SUSOLA6OP,A6OP - MNT DE ORGAO PROVEDOR SOLICITADO,Saldo - Moeda Origem (Item Informação),0,7000,,,,,,,
,,,,,,,,,,,,,E6SUSOLDIAR,DIAR - DIARIAS,Saldo - Moeda Origem (Item Informação),0,4780,4780,4780,,,,,
,,,,,,,,,,,,,E6SUSOLPASS,PASS - PASSAGENS,Saldo - Moeda Origem (Item Informação),0,10000,2966.59,2966.59,,,,,
,,,,,,,,,,,,,E6SUSOLPUBL,PUBL - PUBLICACOES OFICIAIS,Saldo - Moeda Origem (Item Informação),0,4200,,,2800,,,41.27,2758.73
,,,,,,,,,,,,,E7DATRSAPIO,TRANSPORTE,Saldo - Moeda Origem (Item Informação),,,,,3836,,,0,3836
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,581717.21,,,501309.62,80407.59
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0.64,55797.62,727.8,727.8,215300.63,,,181830.24,33470.39
160137,3º BATALHAO DE INFANTARIA DE SELVA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),241968.21,72955,,,48827,,,0,48827
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),90276.32,252161.68,,,62150.99,,,0,62150.99
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),1.22,1048.78,,,,,,,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),133987.66,16583.42,,,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,22007.48,,,0,22007.48
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0.38,39294.41,,,46838.99,,,33049.72,13789.27
160139,HOSPITAL DE GUARNICAO DE JOAO PESSOA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),109270,25700,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,D8SAFCTCALI,CALI - COMPLEMENTO DE ALIMENTACAO,Saldo - Moeda Origem (Item Informação),35999.98,11452.2,,,61672.42,,,54873.98,6798.44
,,,,,,,,,,,,,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),21349.01,213778.99,,,107760.5,,,68515.13,39245.37
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),11018.2,2981.8,,,,,,,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),74727.6,3166.4,,,1200,,,1200,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,30851.43,,949.9,25093.93,4807.6
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,4374.84,,,1531.7,2843.14
160141,COMISSAO REGIONAL DE OBRAS DA 9ª RM,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,3,OUTRAS DESPESAS CORRENTES,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,1177.84,,,0,1177.84
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),,,,,16597.53,204.9,,16486.4,316.03
160142,9.BATALHAO DE SUPRIMENTO,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),33589.51,127093.86,,,,,,,
,,,,,,,,,,,,,E6SUPLJA6OP,A6OP - MNT DE ORGAO PROVEDOR,Saldo - Moeda Origem (Item Informação),94900,,,,,,,,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,10448.25,,,0,10448.25
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0.19,401957.81,41495.95,9889.28,26874.47,,,7884.6,18989.87
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),1311.16,25688.84,15694.95,11218.58,,,,,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),65870.58,50810.16,,,,,,,
,,,,,,,,,,,,,E6SUPLJA6OP,A6OP - MNT DE ORGAO PROVEDOR,Saldo - Moeda Origem (Item Informação),127435.45,626568.55,34888,31605.28,3150,,,1470,1680
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,1759.6,,,0,1759.6
,,,,,,,,,,,,,E6SUSOLA5CF,SOL - SOLICITADO,Saldo - Moeda Origem (Item Informação),0,89246.09,89246.09,89246.09,,,,,
,,,,,,,,,,,,,E6SUSOLA6OP,A6OP - MNT DE ORGAO PROVEDOR SOLICITADO,Saldo - Moeda Origem (Item Informação),147.5,4727.5,,,,,,,
,,,,,,,,,,,,,E6SUSOLDIAR,DIAR - DIARIAS,Saldo - Moeda Origem (Item Informação),0,4407.5,2900,2900,,,,,
,,,,,,,,,,,,,E6SUSOLPASS,PASS - PASSAGENS,Saldo - Moeda Origem (Item Informação),2227.74,7985,3010.11,3010.11,,,,,
,,,,,,,,,,,,,E6SUSOLPUBL,PUBL - PUBLICACOES OFICIAIS,Saldo - Moeda Origem (Item Informação),0,2396,2247.12,2200.31,,,,,
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,249070.74,,,178102.88,70967.86
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,82266,45364.61,42455.73,189979.78,236.96,,107834.02,82382.72
160143,HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),26904.07,95660.04,,,6342.27,,,6342.27,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,3826.69,,,3826.69,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,D8SAFCTCALI,CALI - COMPLEMENTO DE ALIMENTACAO,Saldo - Moeda Origem (Item Informação),120.75,90159.5,,,90418.53,,,39105.5,51313.03
,,,,,,,,,,,,,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),67736.84,351201.16,,,168401.77,,,25922.9,142478.87
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),13.79,7486.21,3497.27,3497.27,,,,,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),97987.23,20527.97,,,26975,,,9520,17455
,,,,,,,,,,,,,E6SUPLJA7PA,A7PA - PASA,Saldo - Moeda Origem (Item Informação),,,,,189140.63,,,181524.83,7615.8
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,48810.21,,,0,48810.21
160145,17 BATALHAO DE FRONTEIRA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),524.36,215755.64,29954,,47455.9,,,24300,23155.9
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),14.54,733149.46,250562.63,122866.39,122917.03,,,5298.32,117618.71
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),11.2,7488.8,,,2496.6,,,0,2496.6
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),51.59,68489.42,,,13956,,,13956,
,,,,,,,,,,,,,E6SUPLJTRFR,TRFR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0.94,43679.06,,,,,,,
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,546544.04,,,518099.38,28444.66
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0.05,75452.38,3524.27,3524.27,230207.33,,,92738.66,137468.67
160146,COMANDO DA 18 BRIGADA DE INF DE PANTANAL,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),10655.65,,,,11037.98,,,1237.98,9800
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,13429.94,,,9821.32,3608.62
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),7.59,302392.41,77484.85,77484.85,52474.92,,,10285.35,42189.57
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),1.97,34998.03,13867.38,13867.38,1761.32,,,612.04,1149.28
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),45291.35,76215.72,,,,,,,
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,15110.26,,,0,15110.26
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,220031.98,,,220031.98,
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0.01,82775.27,,,155455.13,,,76646.77,78808.36
160147,47 BATALHAO DE INFANTARIA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),30444.54,,,,11003.32,,,0,11003.32
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,1336,,,0,1336
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0,523260,36868.04,,139294.36,,,11745.04,127549.32
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),0.11,7499.89,,,,,,,
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),52141.88,,,,6355,,,0,6355
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,68375.92,,,5098.8,63277.12
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),,,,,106030.67,,,62276.34,43754.33
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,1607.6,,,1575,32.6
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,31580.84,,,183713.92,,,116474.85,67239.07
160148,BASE DE ADMINISTRACAO E APOIO DO CMP,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),50740.54,115109.5,,,,,,,
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),4000,,,,,,,,
,,,,,,,,,,,3,OUTRAS DESPESAS CORRENTES,E6SUPLJA1QR,A1QR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),15000.9,1226627.1,123759.23,120005.66,186845.94,,0.38,44309.99,142535.57
,,,,,,,,,,,,,E6SUPLJA3RR,A3RR - QUANTITATIVO DE RANCHO,Saldo - Moeda Origem (Item Informação),32492.91,18550.37,,,49385.98,,,0,49385.98
,,,,,,,,,,,,,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),69935.16,61116.64,,,43520,,,41203.68,2316.32
,,,,,,,,,,,,,E6SUSOLA1QR,A1QR - QUANTITATIVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),0,349.86,,,105609.33,,0.07,2658,102951.26
,,,,,,,,,,,,,E6SUSOLA5PA,A5PA - PASA SOLICITADO,Saldo - Moeda Origem (Item Informação),15000,,,,,,,,
,,,,,,,,,,,,,E6SUSOLSOLE,SOLE - QUANTITAVO DE RANCHO SOLICITADO,Saldo - Moeda Origem (Item Informação),17422.79,28451.22,,,37616.17,,,11533.12,26083.05
,,,,,,,,,,,,,I3DACSPAGES,SV DE AGUA E ESGOTO,Saldo - Moeda Origem (Item Informação),,,,,1653884.73,,,1224009.47,429875.26
,,,,,,,,,,,,,I3DACSPENEL,SV DE ENERGIA ELETRICA E TAXA DE ILLM PUBLICA,Saldo - Moeda Origem (Item Informação),0,67491.42,1640.35,1149.54,302230.59,,,261303.88,40926.71
160149,COMANDO 4 BRIGADA DE CAVALARIA MECANIZADA,212B,"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI",52121,05,331,0032,212B,0006,ALIMENTACAO DE MILITARES ATIVOS EM RANCHO,4,INVESTIMENTOS,E6SUPLJA5PA,A5PA - PASA,Saldo - Moeda Origem (Item Informação),168658.14,13399.4,,,,,,,
